Well,average_frequency_b.sgy,average_ksi.sgy,average_time.sgy,both_stau.sgy,both_stime.sgy,difr smax dev reflect.sgy,ksi_psi.sgy,KgAver300
TRAIN,-5.79161,6.26389,36.9713,0.660725,258.0,0.22688341,-0.543538,0.910708427512818
TRAIN,0.430539,5.22445,41.1895,0.667673,257.0,0.23046029,-0.543124,0.8463475189161123
TRAIN,11.4936,6.67448,37.6628,0.667479,257.0,0.23486805,-0.486551,0.8463475189161123
TRAIN,-15.5366,6.38968,36.0517,0.663446,256.0,0.24338281,-0.545031,0.8463475189161123
TRAIN,-12.8704,5.78741,36.9989,0.664182,257.0,0.24921489,-0.433901,0.8463475189161123
TRAIN,-6.70353,6.74419,42.5829,0.662611,256.0,0.2307729,-0.454698,0.7828073764697349
TRAIN,-21.3147,7.05944,36.9687,0.662207,257.0,0.2475353,-0.454223,0.8463475189161123
TRAIN,-2.39524,8.10468,42.9457,0.663944,257.0,0.25732604,-0.401936,0.7828073764697349
TRAIN,-4.12211,5.40664,40.3646,0.665278,257.0,0.28040865,-0.402407,0.7828073764697349
TRAIN,-29.2821,7.14377,40.4251,0.664863,257.0,0.22707176,-0.425108,0.7828073764697349
TRAIN,-16.1328,5.36387,37.655,0.663221,257.0,0.22961536,-0.497365,0.7828073764697349
TRAIN,-6.1595,3.3405,34.6311,0.667192,258.0,0.25837216,-0.374488,0.7828073764697349
TRAIN,-29.2164,5.95354,36.7936,0.666476,257.0,0.25095236,-0.370373,0.7828073764697349
TRAIN,-20.1286,3.77622,33.9405,0.667469,257.0,0.25605306,-0.428092,0.7828073764697349
TRAIN,-26.8255,3.08465,34.71,0.660802,257.0,0.26727694,-0.447916,0.7828073764697349
TRAIN,-13.8095,6.91217,29.4187,0.667558,255.0,0.26481828,-0.398437,0.7828073764697349
TRAIN,-32.5868,3.7971,36.9324,0.663325,256.0,0.25935644,-0.387667,0.7828073764697349
TRAIN,-18.2299,3.96423,37.5456,0.661662,255.0,0.23370694,-0.270038,0.7828073764697349
TRAIN,-27.857,4.43281,35.8576,0.665469,254.0,0.22367069,-0.28303,0.7167441478368644
TRAIN,-21.4225,2.36378,31.9676,0.668138,254.0,0.22147302,-0.210017,0.7167441478368644
TRAIN,-35.1546,0.692623,33.7563,0.664008,254.0,0.22548988,-0.274708,0.7167441478368644
TRAIN,-15.1713,1.19643,31.6507,0.666966,254.0,0.21472287,-0.220385,0.7167441478368644
TRAIN,-5.83339,2.77942,31.0825,0.666192,255.0,0.21434894,-0.259118,0.7167441478368644
TRAIN,-11.0169,3.06216,31.1906,0.666891,254.0,0.22160023,-0.320747,0.7167441478368644
TRAIN,3.64049,3.84801,36.3693,0.664012,255.0,0.20621906,-0.277186,0.7167441478368644
TRAIN,-10.2097,5.48359,34.056,0.667409,255.0,0.22442044,-0.367655,0.7167441478368644
TRAIN,-11.9065,5.0289,32.1188,0.663161,255.0,0.21409385,-0.315383,0.7167441478368644
TRAIN,-25.8587,5.51204,37.3477,0.666585,255.0,0.22473012,-0.260338,0.7167441478368644
TRAIN,1.4747,5.15454,34.7844,0.664894,254.0,0.24928038,-0.244322,0.7167441478368644
TRAIN,-15.6623,1.58829,32.8206,0.668244,254.0,0.23463055,-0.33311,0.7167441478368644
TRAIN,-26.0527,2.11723,32.5082,0.662047,255.0,0.23203446,-0.44769,0.7167441478368644
TRAIN,-15.7411,1.72266,36.021,0.661341,254.0,0.21804908,-0.346616,0.7167441478368644
TRAIN,-10.7641,2.78678,33.4275,0.661315,254.0,0.20521341,-0.365543,0.7167441478368644
TRAIN,-37.3671,3.7481,37.7831,0.666992,255.0,0.2155908,-0.414882,0.7167441478368644
